loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
4272,Kepler-897 b,Kepler-897,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,8.0472642,0.077,2.39,0.213,6.3,0.0198,M-R relationship,0,0,5839,103.48,-143.96,1.04,1.03,0.04,4.41,19h22m20.83s,290.5867992,+51d41m44.78s,51.6957731,1519.25,15.177,13.466,15.0787
4273,Kepler-898 b,Kepler-898,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,5.8706191,0.0545,1.49,0.133,2.83,0.00889,M-R relationship,0,0,4223,42.74,-38.02,0.62,0.65,-0.06,4.66,19h06m20.50s,286.5854116,+46d52m15.20s,46.8708877,484.891,16.695,13.187,15.9386
4274,Kepler-899 b,Kepler-899,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,19.17891293,0.1392,2.68,0.239,7.65,0.0241,M-R relationship,0,0,5595,270.58,-192.07,0.91,0.93,-0.06,4.49,19h49m55.81s,297.4825612,+40d40m50.67s,40.6807412,1246.43,15.713,13.615,15.382
4275,Kepler-9 b,Kepler-9,1,3,Transit,2010,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,19.23891,0.143,8.29,0.74,43.4,0.13655,Mass,0.0609,1,5774,60,-60,0.96,1.02,0.05,4.49,19h02m17.76s,285.5739904,+38d24m02.95s,38.4008192,628.257,13.922,12.337,13.7809
4276,Kepler-9 c,Kepler-9,1,3,Transit,2010,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,38.9853,0.227,8.08,0.721,29.9,0.09408,Mass,0.06691,1,5774,60,-60,0.96,1.02,0.05,4.49,19h02m17.76s,285.5739904,+38d24m02.95s,38.4008192,628.257,13.922,12.337,13.7809
4277,Kepler-9 d,Kepler-9,1,3,Transit,2010,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,1.592851,0.0273,1.64,0.146,3.33,0.0105,M-R relationship,0,0,5777,61,-61,1.02,1.07,0.12,4.49,19h02m17.76s,285.5739904,+38d24m02.95s,38.4008192,628.257,13.922,12.337,13.7809
4278,Kepler-90 i,KOI-351,1,8,Transit,2017,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,14.44912,,1.32,0.118,2.3,0.00724,M-R relationship,,0,6015,60,-60,1.29,1.12,0.098,4.27,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,13.883,12.482,13.7397
4279,Kepler-900 b,Kepler-900,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,6.9913086,0.0679,2.08,0.186,4.98,0.0157,M-R relationship,0,0,4836,83.81,-69.99,0.73,0.78,-0.01,4.6,19h44m42.55s,296.177272,+46d59m56.27s,46.9989635,487.525,15.19,12.701,14.9453
4280,Kepler-901 b,Kepler-901,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,3.51749439,0.0378,1.37,0.122,2.45,0.00771,M-R relationship,0,0,4184,52.61,-49.25,0.57,0.59,-0.3,4.7,19h24m36.67s,291.1528056,+40d53m15.65s,40.8876814,253.867,15.85,11.907,14.6803
4281,Kepler-902 b,Kepler-902,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,40.1099547,0.223,2.54,0.227,6.99,0.022,M-R relationship,0,0,5647,73.28,-88.98,0.93,0.95,0,4.49,19h18m55.61s,289.7317067,+46d57m13.95s,46.953875,1165.34,14.992,13.26,14.8583
