DATE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D
DATE,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG
MARKET CAPITALIZATION,,,,,,,,,,,,,,,,,,,,,,
DATE,OFF_AVG_CLOSE,RESI_AVG_CLOSE,HOT_AVG_CLOSE,NL_AVG_CLOSE,SC_AVG_CLOSE,MALL_AVG_CLOSE,HC_AVG_CLOSE,IND_AVG_CLOSE,SS_AVG_CLOSE,DC_AVG_CLOSE,ALL_AVG_CLOSE,OFF_AVG_RETURN_1D,RESI_AVG_RETURN_1D,HOT_AVG_RETURN_1D,NL_AVG_RETURN_1D,SC_AVG_RETURN_1D,MALL_AVG_RETURN_1D,HC_AVG_RETURN_1D,IND_AVG_RETURN_1D,SS_AVG_RETURN_1D,DC_AVG_RETURN_1D,ALL_AVG_RETURN_1D
2018-04-18 00:00:00,$36.16 ,$69.75 ,$70.48 ,$31.86 ,$29.86 ,$65.07 ,$29.03 ,$42.90 ,$50.75 ,$200.81 ,$62.67 ,(0.53%),(0.51%),0.86%,(0.23%),(0.49%),(0.09%),(0.61%),0.42%,(0.03%),0.44%,(0.08%)
2018-04-19 00:00:00,$35.82 ,$68.46 ,$69.40 ,$31.27 ,$29.18 ,$63.83 ,$28.54 ,$42.51 ,$49.84 ,$198.32 ,$61.72 ,(0.94%),(1.85%),(1.54%),(1.85%),(2.28%),(1.91%),(1.70%),(0.90%),(1.78%),(1.24%),(1.60%)
2018-04-20 00:00:00,$35.65 ,$68.02 ,$69.09 ,$30.88 ,$28.62 ,$62.30 ,$28.06 ,$42.39 ,$49.19 ,$196.81 ,$61.10 ,(0.47%),(0.65%),(0.44%),(1.25%),(1.93%),(2.39%),(1.65%),(0.30%),(1.31%),(0.76%),(1.12%)
2018-04-23 00:00:00,$35.67 ,$67.82 ,$70.04 ,$30.71 ,$28.54 ,$61.99 ,$27.97 ,$42.43 ,$49.18 ,$197.61 ,$61.20 ,0.05%,(0.29%),1.38%,(0.56%),(0.26%),(0.50%),(0.33%),0.12%,(0.02%),0.41%,(0.00%)
2018-04-24 00:00:00,$35.89 ,$67.98 ,$70.42 ,$31.00 ,$28.59 ,$62.19 ,$28.24 ,$42.69 ,$49.67 ,$197.72 ,$61.44 ,0.63%,0.24%,0.53%,0.97%,0.18%,0.31%,0.96%,0.60%,0.99%,0.06%,0.55%
2018-04-25 00:00:00,$35.97 ,$67.81 ,$69.55 ,$31.03 ,$28.64 ,$61.80 ,$28.09 ,$42.64 ,$49.40 ,$197.57 ,$61.25 ,0.21%,(0.25%),(1.23%),0.08%,0.17%,(0.63%),(0.54%),(0.13%),(0.53%),(0.08%),(0.29%)
2018-04-26 00:00:00,$36.52 ,$68.25 ,$68.85 ,$31.43 ,$29.45 ,$63.70 ,$28.12 ,$43.53 ,$50.51 ,$200.31 ,$62.07 ,1.54%,0.65%,(1.01%),1.30%,2.81%,3.07%,0.11%,2.09%,2.24%,1.39%,1.42%
2018-04-27 00:00:00,$37.12 ,$69.27 ,$69.26 ,$31.95 ,$30.17 ,$65.93 ,$29.68 ,$43.88 ,$51.41 ,$202.62 ,$63.13 ,1.62%,1.49%,0.59%,1.66%,2.48%,3.50%,5.56%,0.82%,1.78%,1.16%,2.07%
2018-04-30 00:00:00,$36.89 ,$68.83 ,$68.74 ,$31.68 ,$29.71 ,$65.39 ,$29.77 ,$44.14 ,$51.33 ,$202.25 ,$62.87 ,(0.60%),(0.63%),(0.75%),(0.86%),(1.53%),(0.81%),0.29%,0.58%,(0.16%),(0.19%),(0.47%)
2018-05-01 00:00:00,$37.25 ,$69.33 ,$68.95 ,$31.93 ,$30.08 ,$66.47 ,$30.30 ,$44.24 ,$51.69 ,$202.36 ,$63.26 ,0.97%,0.73%,0.30%,0.80%,1.25%,1.64%,1.77%,0.23%,0.71%,0.05%,0.85%
2018-05-02 00:00:00,$37.02 ,$68.91 ,$69.55 ,$31.81 ,$29.67 ,$65.50 ,$30.22 ,$44.35 ,$51.37 ,$203.20 ,$63.16 ,(0.62%),(0.61%),0.87%,(0.40%),(1.36%),(1.46%),(0.24%),0.26%,(0.62%),0.42%,(0.38%)
2018-05-03 00:00:00,$37.19 ,$68.67 ,$69.95 ,$31.97 ,$29.75 ,$65.77 ,$30.38 ,$44.41 ,$52.31 ,$195.42 ,$62.58 ,0.46%,(0.36%),0.58%,0.51%,0.26%,0.42%,0.52%,0.13%,1.84%,(3.83%),0.05%
2018-05-04 00:00:00,$37.69 ,$69.43 ,$70.00 ,$32.44 ,$30.21 ,$67.28 ,$30.73 ,$44.74 ,$52.52 ,$197.99 ,$63.30 ,1.34%,1.12%,0.07%,1.48%,1.54%,2.30%,1.14%,0.74%,0.41%,1.32%,1.15%
2018-05-07 00:00:00,$37.99 ,$69.71 ,$71.35 ,$32.75 ,$30.28 ,$68.09 ,$30.93 ,$45.60 ,$53.14 ,$194.85 ,$63.47 ,0.80%,0.39%,1.93%,0.94%,0.23%,1.20%,0.67%,1.92%,1.17%,(1.59%),0.77%
2018-05-08 00:00:00,$37.78 ,$69.40 ,$70.52 ,$32.69 ,$30.03 ,$66.98 ,$30.77 ,$45.49 ,$53.37 ,$192.09 ,$62.91 ,(0.55%),(0.43%),(1.16%),(0.17%),(0.82%),(1.63%),(0.53%),(0.25%),0.42%,(1.41%),(0.65%)
2018-05-09 00:00:00,$38.04 ,$69.92 ,$71.56 ,$32.92 ,$30.31 ,$67.21 ,$31.01 ,$45.51 ,$53.68 ,$192.73 ,$63.29 ,0.67%,0.75%,1.47%,0.69%,0.92%,0.35%,0.79%,0.05%,0.59%,0.33%,0.66%
2018-05-10 00:00:00,$38.16 ,$70.24 ,$72.11 ,$33.14 ,$30.40 ,$67.50 ,$31.34 ,$45.77 ,$54.19 ,$197.26 ,$64.01 ,0.32%,0.45%,0.77%,0.67%,0.32%,0.43%,1.07%,0.57%,0.96%,2.35%,0.79%
2018-05-11 00:00:00,$37.99 ,$69.74 ,$71.75 ,$32.97 ,$30.24 ,$66.87 ,$31.33 ,$45.50 ,$54.17 ,$198.07 ,$63.86 ,(0.45%),(0.71%),(0.50%),(0.51%),(0.54%),(0.93%),(0.04%),(0.59%),(0.04%),0.41%,(0.39%)
2018-05-14 00:00:00,$37.52 ,$69.31 ,$70.18 ,$32.61 ,$29.76 ,$65.55 ,$31.04 ,$45.16 ,$53.52 ,$196.52 ,$63.12 ,(1.24%),(0.61%),(2.19%),(1.10%),(1.59%),(1.97%),(0.93%),(0.75%),(1.21%),(0.78%),(1.24%)
2018-05-15 00:00:00,$36.67 ,$67.44 ,$69.21 ,$32.11 ,$29.31 ,$64.53 ,$30.55 ,$44.55 ,$52.66 ,$192.77 ,$61.98 ,(2.25%),(2.70%),(1.38%),(1.51%),(1.49%),(1.56%),(1.57%),(1.35%),(1.59%),(1.91%),(1.73%)
2018-05-16 00:00:00,$36.34 ,$66.80 ,$69.14 ,$32.19 ,$29.37 ,$65.09 ,$30.50 ,$44.12 ,$52.57 ,$191.81 ,$61.79 ,(0.90%),(0.94%),(0.11%),0.25%,0.18%,0.87%,(0.15%),(0.95%),(0.18%),(0.50%),(0.24%)
2018-05-17 00:00:00,$36.15 ,$66.25 ,$69.18 ,$32.04 ,$29.33 ,$65.01 ,$30.17 ,$43.85 ,$52.36 ,$190.34 ,$61.47 ,(0.52%),(0.84%),0.06%,(0.47%),(0.12%),(0.12%),(1.11%),(0.62%),(0.40%),(0.77%),(0.49%)
2018-05-18 00:00:00,$36.14 ,$66.24 ,$69.80 ,$32.17 ,$29.43 ,$65.68 ,$30.21 ,$43.98 ,$52.29 ,$191.54 ,$61.75 ,(0.02%),(0.01%),0.90%,0.39%,0.34%,1.03%,0.16%,0.29%,(0.13%),0.63%,0.36%
2018-05-21 00:00:00,$36.59 ,$67.00 ,$70.99 ,$32.58 ,$30.00 ,$66.91 ,$30.65 ,$44.35 ,$52.77 ,$192.92 ,$62.48 ,1.23%,1.15%,1.70%,1.30%,1.95%,1.87%,1.46%,0.84%,0.92%,0.72%,1.31%
2018-05-22 00:00:00,$36.82 ,$67.20 ,$71.07 ,$32.58 ,$30.04 ,$67.50 ,$30.86 ,$44.25 ,$52.45 ,$191.76 ,$62.45 ,0.64%,0.29%,0.11%,(0.01%),0.13%,0.89%,0.66%,(0.22%),(0.60%),(0.60%),0.13%
2018-05-23 00:00:00,$37.25 ,$68.35 ,$72.63 ,$33.09 ,$30.33 ,$68.32 ,$31.32 ,$44.88 ,$53.22 ,$192.13 ,$63.15 ,1.15%,1.71%,2.20%,1.56%,0.97%,1.22%,1.50%,1.43%,1.46%,0.19%,1.34%
2018-05-24 00:00:00,$37.13 ,$67.72 ,$73.56 ,$32.97 ,$30.22 ,$68.08 ,$31.14 ,$44.80 ,$53.72 ,$192.43 ,$63.18 ,(0.31%),(0.92%),1.27%,(0.34%),(0.37%),(0.35%),(0.58%),(0.18%),0.94%,0.16%,(0.07%)
2018-05-25 00:00:00,$37.23 ,$68.12 ,$73.42 ,$33.15 ,$30.43 ,$68.96 ,$31.47 ,$44.87 ,$53.75 ,$193.09 ,$63.45 ,0.27%,0.59%,(0.19%),0.53%,0.69%,1.28%,1.07%,0.15%,0.06%,0.34%,0.48%
2018-05-29 00:00:00,$37.28 ,$68.16 ,$73.42 ,$33.51 ,$30.67 ,$70.16 ,$31.65 ,$45.03 ,$53.99 ,$195.61 ,$63.95 ,0.14%,0.06%,0.00%,1.10%,0.79%,1.75%,0.57%,0.35%,0.44%,1.31%,0.65%
2018-05-30 00:00:00,$37.98 ,$70.00 ,$74.77 ,$33.75 ,$31.07 ,$71.28 ,$32.03 ,$45.59 ,$54.62 ,$198.08 ,$64.92 ,1.87%,2.70%,1.84%,0.70%,1.29%,1.59%,1.20%,1.24%,1.17%,1.26%,1.49%
2018-05-31 00:00:00,$37.94 ,$69.72 ,$74.30 ,$33.71 ,$30.99 ,$70.65 ,$31.96 ,$45.34 ,$54.34 ,$196.71 ,$64.57 ,(0.10%),(0.40%),(0.63%),(0.12%),(0.26%),(0.88%),(0.23%),(0.54%),(0.51%),(0.69%),(0.44%)
2018-06-01 00:00:00,$38.01 ,$70.02 ,$74.63 ,$33.50 ,$30.92 ,$70.74 ,$32.11 ,$45.99 ,$54.61 ,$197.79 ,$64.83 ,0.18%,0.43%,0.45%,(0.60%),(0.22%),0.13%,0.48%,1.43%,0.49%,0.55%,0.33%
2018-06-04 00:00:00,$38.44 ,$70.96 ,$75.27 ,$33.68 ,$31.21 ,$71.35 ,$32.12 ,$46.54 ,$55.79 ,$198.90 ,$65.43 ,1.13%,1.33%,0.86%,0.52%,0.95%,0.86%,0.04%,1.20%,2.16%,0.56%,0.96%
